,MDN
Breast Cancer Wisconsin,0.9207337045528987
Breast Cancer Wisconsin,0.9323616115296429
Breast Cancer Wisconsin,0.9315476190476191
Breast Cancer Wisconsin,0.9057539682539683
Breast Cancer Wisconsin,0.9123071763916835
Diabetes,0.5974074074074074
Diabetes,0.6912962962962963
Diabetes,0.7811111111111111
Diabetes,0.6730188679245284
Diabetes,0.6541509433962265
Banknote,0.9877049180327868
Banknote,0.969757848494589
Banknote,0.9959016393442623
Banknote,0.986842105263158
Banknote,0.9811259706643658
Spambase,0.9134082763115021
Spambase,0.9098327818745642
Spambase,0.9156366999520256
Spambase,0.907305095150399
Spambase,0.9130527337174994
Ionosphere,0.911965811965812
Ionosphere,0.8866666666666667
Ionosphere,0.8955555555555555
Ionosphere,0.8577777777777778
Ionosphere,0.8866666666666667
Colic,0.6832298136645962
Colic,0.7218282111899132
Colic,0.6107171000788022
Colic,0.7419484702093397
Colic,0.71256038647343
Sonar,0.5681818181818181
Sonar,0.6636363636363636
Sonar,0.545766590389016
Sonar,0.5095693779904306
Sonar,0.6375598086124402
Tic-Tac-Toe,0.7366522366522366
Tic-Tac-Toe,0.6865671641791045
Tic-Tac-Toe,0.7131940298507462
Tic-Tac-Toe,0.7443030303030302
Tic-Tac-Toe,0.6676969696969697
Monks-2,0.6216094032549728
Monks-2,0.554646495832047
Monks-2,0.5943192343315838
Monks-2,0.5853658536585366
Monks-2,0.6191725841309046
Australian,0.793698105173515
Australian,0.808707685756866
Australian,0.7810304449648712
Australian,0.7905348047538201
Australian,0.8792444821731749
Banana,0.6617094017094017
Banana,0.6727935222672065
Banana,0.6684660368870895
Banana,0.6835267656320287
Banana,0.6350077702313802
Cylinder Bands,0.6248246844319776
Cylinder Bands,0.6637447405329593
Cylinder Bands,0.5999298737727911
Cylinder Bands,0.665079365079365
Cylinder Bands,0.6238095238095238
Chess,0.9281339282219874
Chess,0.9450427014822813
Chess,0.9496024344753117
Chess,0.9332826150976735
Chess,0.9198463169051404
Haberman,0.6026143790849673
Haberman,0.5625
Haberman,0.5090277777777779
Haberman,0.6138888888888889
Haberman,0.5916666666666667
