HLM_ELM,MLMP,SLMP,SLMPbox,Linear SVC,RBF SVC,DEP,r-DEP (Ensemble),r-DEP (Bagging),MDN
1.0,0.8099999999999999,0.7828571428571429,0.7757142857142858,1.0,1.0,0.9800000000000001,1.0,1.0,1.0
0.49523495827843644,0.5124609263995452,0.5,0.5,0.8377160350306129,0.7455488387713451,0.5341031801389857,0.814264124622181,0.7772791857190834,0.57
0.840083373305144,0.6456042093117993,0.5610479524372202,0.561371507225831,0.8586827176831073,0.8603057960993056,0.6950764006791171,0.8530191217672082,0.8698044718787017,0.81
0.8621520495022551,0.8463594294316547,0.5019725822852757,0.504577185800096,0.5,0.8990548652825892,0.5043580017110276,0.8824986356881688,0.8965001833133008,0.66
0.9934339525283798,0.9896742317864735,0.5776962899050906,0.6481902079209597,0.9860482329256121,1.0,0.43606747703395426,0.9993464052287582,0.9993464052287582,0.98
0.6124185463659149,0.5842815371762741,0.5039598997493734,0.5039598997493734,0.49912280701754386,0.5434168755221387,0.5763492063492064,0.6391812865497075,0.6417710944026733,0.61
0.9331021009779608,0.9350282573996953,0.900130693723062,0.8819773290908242,0.9680003795382112,0.9740599930331341,0.9147470091869044,0.9712329532752066,0.9666498993963784,0.92
0.6953855823151753,0.518885524320017,0.5,0.6746313943390378,0.9689627557676225,0.9836487832972972,0.544521412143699,0.9821761824418612,0.9847097891579034,0.94
0.7283755243283457,0.5102554219344229,0.5367575584041819,0.539373816131448,0.8013679035186898,0.8204466029396649,0.5908966320622194,0.7633313999872742,0.778876603575956,0.69
0.8383189898692697,0.5150739933338947,0.49608965445198006,0.494450310189685,0.8620033178711404,0.8598083865256623,0.656366108772243,0.8578934807573233,0.847774136437194,0.82
0.5795238095238096,0.5149999999999999,0.49642857142857133,0.5049999999999999,0.6738095238095239,0.6673809523809524,0.5435714285714287,0.7054761904761906,0.6919047619047619,0.57
0.6362879850397383,0.5542331752710434,0.516307130612881,0.522712215320911,0.6794788396892184,0.7620882032102229,0.5031937487477458,0.7533765221843763,0.7410855094726063,0.64
0.7186540880503143,0.6449615653389238,0.5182138364779874,0.5162138364779875,0.7192900069881202,0.7068127183787561,0.6574598183088749,0.7301180992313068,0.728675751222921,0.68
0.5920016339869282,0.5211192810457517,0.520187908496732,0.520187908496732,0.5124183006535947,0.5589460784313726,0.6620669934640524,0.6292483660130719,0.6079003267973857,0.58
0.5520254708034142,0.4727137244275843,0.49998645170031164,0.49752066115702476,0.6064354423519849,0.5049925484351714,0.5387549112586371,0.7369123425010161,0.5990651673215012,0.65
0.5310734362769516,0.859939582465022,0.8098416538749564,0.8098416538749564,0.9117954817307268,0.8836213585982318,0.6768193031144002,0.9166250724298829,0.8649676564570182,0.51
0.8013504273504275,0.5,0.5,0.5,0.8549914529914531,0.9274188034188032,0.7689059829059829,0.8788376068376067,0.9483076923076922,0.88
0.9571957740618474,0.5,0.5,0.5,1.0,1.0,0.6028293351541552,1.0,1.0,0.89
0.7146209147444098,0.5,0.5,0.5,0.5,0.6426300004410532,0.5399175230450315,0.7065900704214998,0.78052749966921,1.0
0.8900500584031257,0.6877637500391394,0.6828384418901661,0.8529121706153726,0.9784865894138782,1.0,0.6483531528226333,1.0,1.0,0.6
0.7011651784809082,0.7860933445885381,0.5005294804610159,0.5005592792410805,0.71571235370815,0.811315408145685,0.6962030690195709,0.8003258579025159,0.8236537704430738,0.98
0.8095882116219315,0.5,0.6189700328104065,0.6189700328104065,0.9001998116889636,0.9472742709255308,0.5795111871677955,0.9336017903222771,0.9484196474410034,0.76
0.5561577539663677,0.4998587570621469,0.5016091405063646,0.501185810121403,0.7994434356080009,0.7435638000985907,0.5059205634513095,0.8955259100107327,0.8909942459833882,0.93
0.6692479717079258,0.6811015186186812,0.46343457457873927,0.5628385687539005,0.7454919908466819,0.8385417100062409,0.44575722904098186,0.8639421676721447,0.8322311212814647,0.83
0.7825841785788813,0.6630830274511444,0.5455016971046188,0.5455016971046188,0.9237998793584017,0.9266272427427665,0.6224746322177538,0.9193549712504456,0.9311870899052263,0.58
0.8010186577443752,0.7966046408378057,0.5308421582397476,0.5484221931503838,1.0,0.9943990023635104,0.4848119917600314,1.0,0.99619191879622,0.91
0.49874999999999997,0.4912500000000001,0.5008928571428571,0.5067857142857142,0.5,0.5,0.48517857142857135,0.5017857142857143,0.4826785714285714,0.97
0.6232561607546682,0.5,0.5,0.5,0.5,0.8439504985893045,0.5070752643707868,0.8829354009174905,0.8645565075057613,0.5
0.6824691283761138,0.5,0.5,0.5,0.6996121422768553,0.689619691207743,0.5255934537152044,0.649457726317543,0.6327774314729604,0.71
0.5347365780923541,0.5953775376525199,0.4843516924842226,0.5063595098499422,0.5,0.4988095238095238,0.4321630295053399,0.6448636409656963,0.6082475816175321,0.66
